Time,tempin,tempout,humidity,windspeed,winddir,rainrate,dew,uv,heat,icon,desc
13:02:09,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:10,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:11,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:12,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:13,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:14,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:15,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:16,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:17,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:18,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:19,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:20,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:21,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:22,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:23,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:24,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:25,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:26,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:28,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:29,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:30,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:31,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:32,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:33,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:34,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:35,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:36,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:37,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:38,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:39,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:40,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:41,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:42,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:43,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:44,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:45,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:46,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:47,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:48,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:49,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:50,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:51,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:52,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:53,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:54,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:55,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:56,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:57,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:58,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:02:59,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:00,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:01,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:02,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:03,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:04,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:05,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:06,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:07,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:08,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:09,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:10,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:11,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:12,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:13,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:14,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:15,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:16,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:17,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:18,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:19,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:20,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:21,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:22,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:23,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:24,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:25,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:26,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:27,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:28,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:29,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:30,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:31,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:32,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:33,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:34,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:35,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:36,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:38,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:39,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:40,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:41,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:42,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:43,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:44,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:45,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:46,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:47,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:48,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:49,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:50,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:51,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:52,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:53,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:54,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:55,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:56,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:57,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:58,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:03:59,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:04:00,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:04:01,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:04:02,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
